Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Shares Outstanding,Market Cap,exchange_portion
2021-01-11 00:00:00-05:00,125.6427396065964,127.84067981844454,123.37671431199304,123.6490249633789,482792700,0.0,0.0,14681140000,1815308646350.8608,0.032885232345717025
2021-01-18 00:00:00-05:00,124.27143994156349,136.0100313065284,123.45450806292408,135.25144958496094,429687100,0.0,0.0,14681140000,1985645466559.7537,0.02926796556670667
2021-01-25 00:00:00-05:00,139.14166353997453,141.10618871860152,126.63476631172156,128.3367156982422,716991000,0.0,0.0,14681140000,1884129290306.0913,0.04883755621157485
2021-02-01 00:00:00-05:00,130.0774909923937,133.64671831024853,127.33491546106995,133.0048370361328,439303000,0.205,0.0,14681140000,1952662633204.651,0.029922948762834495
2021-02-08 00:00:00-05:00,132.49261787288367,134.29451564495733,130.21347177715296,131.8497772216797,345543100,0.0,0.0,14681140000,1935705038360.2903,0.023536530541906145
2021-02-15 00:00:00-05:00,131.9666709311551,132.47313794918554,124.09678459613887,126.49280548095705,363020300,0.0,0.0,14681140000,1857058586258.6975,0.02472698305444945
2021-02-22 00:00:00-05:00,124.6811673680101,126.3467063293504,115.31133475528044,118.10670471191406,685989200,0.0,0.0,14681140000,1733941066814.27,0.04672588096019791
2021-03-01 00:00:00-05:00,120.53193868057843,125.3726973260426,114.51264641529036,118.26252746582033,663456700,0.0,0.0,14681140000,1736228722479.5537,0.04519108870292089
2021-03-08 00:00:00-05:00,117.78529235245746,120.0060012096891,113.18803176962854,117.8826904296875,586977300,0.0,0.0,14681140000,1730652281774.9023,0.03998172485242971
2021-03-15 00:00:00-04:00,118.25279974606406,123.91171134393863,116.56778422545804,116.86972045898438,626343500,0.0,0.0,14681140000,1715780727819.214,0.04266313787621397
2021-03-22 00:00:00-04:00,117.20089283013289,121.0092117782191,115.82755546141084,118.0580062866211,488825800,0.0,0.0,14681140000,1733226118414.7644,0.033296174547753105
2021-03-29 00:00:00-04:00,118.48656013056376,120.95076768283118,115.76911165464549,119.80145263671876,359904000,0.0,0.0,14681140000,1758821898363.0374,0.02451471752193631
2021-04-05 00:00:00-04:00,120.64883536861728,129.5803656375029,119.86963593093434,129.54141235351562,447820500,0.0,0.0,14681140000,1901815610559.6924,0.030503114880724522
2021-04-12 00:00:00-04:00,129.07391231973784,131.4894174568458,127.23306106982176,130.6712646484375,444178800,0.0,0.0,14681140000,1918403130280.7617,0.030255061936607104
2021-04-19 00:00:00-04:00,130.03815370164696,132.00562907328896,127.88563164083554,130.8271026611328,421147600,0.0,0.0,14681140000,1920691009962.4631,0.028686300927584642
2021-04-26 00:00:00-04:00,131.32381829006798,133.50557361424003,127.66160046998598,128.0414581298828,501621500,0.0,0.0,14681140000,1879794572608.948,0.03416774855358644
2021-05-03 00:00:00-04:00,128.60638122941089,130.58360610488774,123.40524793863432,126.82398223876952,453802300,0.22,0.0,14681140000,1861920638604.889,0.03091056280370598
2021-05-10 00:00:00-04:00,126.25888415725626,126.38570854808212,119.27322580506129,124.34660339355467,514165600,0.0,0.0,14681140000,1825549892945.2512,0.03502218492569378
2021-05-17 00:00:00-04:00,123.7319310850272,124.8831983677244,119.86835802875996,122.3757781982422,386352000,0.0,0.0,14681140000,1796615932337.3416,0.026316212501209035
